question_id,source_split,question,gold_answer,gold_answer_text,sciq_support,review_priority,top_score,top_answer_exact,top_chapter_id,top_section_title,top_content_type,top_char_start,top_char_end,top_preview_text,m3_decision,m3_notes
sciq-test-00401,test,What is the transition from solid to vapor is called?,D,sublimation,"Sublimation is the transition from solid to vapor phase. You may have noticed that snow can disappear into thin air without a trace of liquid water, or the disappearance of ice cubes in a freezer. The reverse is also true: Frost can form on very cold windows without going through the liquid stage. A popular effect is the making of “smoke” from dry ice, which is solid carbon dioxide. Sublimation occurs because the equilibrium vapor pressure of solids is not zero. Certain air fresheners use the sublimation of a solid to inject a perfume into the room. Moth balls are a slightly toxic example of a phenol (an organic compound) that sublimates, while some solids, such as osmium tetroxide, are so toxic that they must be kept in sealed containers to prevent human exposure to their sublimation-produced vapors.",strong,0.9256,True,14,Phase Change and Latent Heat,body,40404,41216,"Sublimation is the transition from solid to vapor phase. You may have noticed that snow can disappear into thin air without a trace of liquid water, or the disappearance of ice cubes in a freezer. The reverse is also true: Frost can form on very cold windows without going through the liquid stage. A popular effect is the making of “smoke” from dry ice, which is solid carbon dioxide. Sublimation occurs because the equilibrium vapor pressure of solids is not zero. Certain air fresheners use the sublimation of a solid to inject a perfume into the room. Moth balls are a slightly toxic example of a phenol (an organic compound) that sublimates, while some solids, such as osmium tetroxide, are so toxic that they must be kept in sealed containers to prevent human exposure to their sublimation-produced vapors.",accept,Top span explicitly defines sublimation as the transition from solid to vapor phase.
sciq-test-00974,test,Hertz proved that what type of waves travel at the speed of light?,D,electromagnetic,"Hertz also studied the reflection, refraction, and interference patterns of the electromagnetic waves he generated, verifying their wave character. He was able to determine wavelength from the interference patterns, and knowing their frequency, he could calculate the propagation speed using the equation υ = fλ (velocity—or speed—equals frequency times wavelength). Hertz was thus able to prove that electromagnetic waves travel at the speed of light. The SI unit for frequency, the hertz ( 1 Hz = 1 cycle/sec ), is named in his honor.",strong,0.9238,True,24,Maxwell’s Equations: Electromagnetic Waves Predicted and Observed,body,11117,11696,"Hertz also studied the reflection, refraction, and interference patterns of the electromagnetic waves he generated, verifying their wave character. He was able to determine wavelength from the interference patterns, and knowing their frequency, he could calculate the propagation speed using the equation [EQUATION: upsilon = f lamda] (velocity—or speed—equals frequency times wavelength). Hertz was thus able to prove that electromagnetic waves travel at the speed of light. The SI unit for frequency, the hertz ( [EQUATION: number 1 H z = 1 cycle / s] ), is named in his honor.",accept,Top span explicitly states Hertz proved electromagnetic waves travel at the speed of light.
sciq-test-00614,test,By exploding what the space probes get separated from their launchers?,D,bolts,"Space probes may be separated from their launchers by exploding bolts. (They bolt away from one another. ) Suppose a 4800-kg satellite uses this method to separate from the 1500-kg remains of its launcher, and that 5000 J of kinetic energy is supplied to the two parts. What are their subsequent velocities using the frame of reference in which they were at rest before separation?.",strong,0.9232,True,8,Problems & Exercises,problem,93895,94275,"from one another.) Suppose a 4800-kg satellite uses this method to separate from the 1500-kg remains of its launcher, and that 5000 J of kinetic energy is supplied to the two parts. What are their subsequent velocities using the frame of reference in which they were at rest before separation? Space probes may be separated from their launchers by exploding bolts. (They bolt away",accept,Top span explicitly states space probes may be separated from launchers by exploding bolts.
sciq-test-00315,test,An object attached to a spring sliding on a frictionless surface is an uncomplicated type of what device?,D,simple harmonic oscillator,"Figure 16.9 An object attached to a spring sliding on a frictionless surface is an uncomplicated simple harmonic oscillator. When displaced from equilibrium, the object performs simple harmonic motion that has an amplitude X and a period T . The object’s maximum speed occurs as it passes through equilibrium. The stiffer the spring is, the smaller the period.",strong,0.9215,True,16,Simple Harmonic Motion: A Special Periodic Motion,body,23431,23641,"An object attached to a spring sliding on a frictionless surface is an uncomplicated simple harmonic oscillator. When displaced from equilibrium, the object performs simple harmonic motion that has an amplitude",accept,Top span explicitly calls the spring-object system an uncomplicated simple harmonic oscillator.
sciq-test-00540,test,What action do particles of the same charge do to each other?,D,repel,"Matter and Antimatter The positron was only the first example of antimatter. Every particle in nature has an antimatter counterpart, although some particles, like the photon, are their own antiparticles. Antimatter has charge opposite to that of matter (for example, the positron is positive while the electron is negative) but is nearly identical otherwise, having the same mass, intrinsic spin, half-life, and so on. When a particle and its antimatter counterpart interact, they annihilate one another, usually totally converting their masses to pure energy in the form of photons as seen in Figure 33.13. Neutral particles, such as neutrons, have neutral antimatter counterparts, which also annihilate when they interact. Certain neutral particles are their own antiparticle and live 0 −8 correspondingly short lives. For example, the neutral pion π is its own antiparticle and has a half-life about 10 shorter than + − π and π , which are each other’s antiparticles. Without exception, nature is symmetric—all particles have antimatter counterparts. For example, antiprotons and antineutrons were first created in accelerator experiments in 1956 and the antiproton is negative. Antihydrogen atoms, consisting of an antiproton and antielectron, were observed in 1995 at CERN, too. It is possible to contain large-scale antimatter particles such as antiprotons by using electromagnetic traps that confine the particles within a magnetic field so that they don't annihilate with other particles. However, particles of the same charge repel each other, so the more particles that are contained in a trap, the more energy is needed to power the magnetic field that contains them. It is not currently possible to store a significant quantity of antiprotons. At any rate, we now see that negative charge is associated with both low-mass (electrons) and high-mass particles (antiprotons) and the apparent asymmetry is not there. But this knowledge does raise another question—why is there such a predominance of matter and so little antimatter? Possible explanations emerge later in this and the next chapter.",strong,0.9169,True,33,"Particles, Patterns, and Conservation Laws",body,34809,37009,"The positron was only the first example of antimatter. Every particle in nature has an antimatter counterpart, although some particles, like the photon, are their own antiparticles. Antimatter has charge opposite to that of matter (for example, the positron is positive while the electron is negative) but is nearly identical otherwise, having the same mass, intrinsic spin, half-life, and so on. When a particle and its antimatter counterpart interact, they annihilate one another, usually totally converting their masses to pure energy in the form of photons as seen in Figure 33.13. Neutral particles, such as neutrons, have neutral antimatter counterparts, which also annihilate when they interact. Certain neutral particles are their own antiparticle and live correspondingly short lives. For example, the neutral pion [EQUATION: pi to the 0 power] is its own antiparticle and has a half-life about [EQUATION: 10 to the − 8 power] shorter than [EQUATION: pi raised to the + power] and [EQUATION: pi raised to the − power], which are each other’s antiparticles. Without exception, nature is symmetric—all particles have antimatter counterparts. For example, antiprotons and antineutrons were first created in accelerator experiments in 1956 and the antiproton is negative. Antihydrogen atoms, consisting of an antiproton and antielectron, were observed in 1995 at CERN, too. It is possible to contain large-scale antimatter particles such as antiprotons by using electromagnetic traps that confine the particles within a magnetic field so that they don't annihilate with other particles. However, particles of the same charge repel each other, so the more particles that are contained in a trap, the more energy is needed to power the magnetic field that contains them. It is not currently possible to store a significant quantity of antiprotons. At any rate, we now see that negative charge is associated with both low-mass (electrons) and high-mass particles (antiprotons) and the apparent asymmetry is not there. But this knowledge does raise another question—why is there such a predominance of matter and so little antimatter? Possible explanations emerge later in this and the next chapter.",accept,Top span explicitly states particles of the same charge repel each other.
sciq-test-00620,test,Downhill skiiers gain little advantage from a running start because the initial kinetic energy is small compared with the gain in what other energy form?,D,gravitational potential energy,"In a downhill ski race, surprisingly, little advantage is gained by getting a running start. (This is because the initial kinetic energy is small compared with the gain in gravitational potential energy on even small hills. ) To demonstrate this, find the final speed and the time taken for a skier who skies 70.0 m along a 30º slope neglecting friction: (a) Starting from rest. (b) Starting with an initial speed of 2.50 m/s. (c) Does the answer surprise you? Discuss why it is still advantageous to get a running start in very competitive events.",strong,0.9125,True,7,Problems & Exercises,problem,132106,132691,"In a downhill ski race, surprisingly, little advantage is gained by getting a running start. (This is because the initial kinetic energy is small compared with the gain in gravitational potential energy on even small hills.) To demonstrate this, find the final speed and the time taken for a skier who skis 70.0 m along a [EQUATION: 30 masculine ordinal indicator] slope neglecting friction: (a) Starting from rest. (b) Starting with an initial speed of 2.50 m/s. (c) Does the answer surprise you? Discuss why it is still advantageous to get a running start in very competitive events.",accept,Top span explicitly compares initial kinetic energy with the gain in gravitational potential energy.
sciq-test-00068,test,"Newton’s second law of what is more than a definition; it is a relationship among acceleration, force, and mass?",D,motion,"9.80 m/s 2 . When we say that an acceleration is 45 g 's, it is 45×9.80 m/s 2 , which is approximately 440 m/s 2 . ) While living subjects are not used any more, land speeds of 10,000 km/h have been obtained with rocket sleds. In this example, as in the preceding one, the system of interest is obvious. We will see in later examples that choosing the system of interest is crucial—and the choice is not always obvious. Newton’s second law of motion is more than a definition; it is a relationship among acceleration, force, and mass. It can help us make predictions. Each of those physical quantities can be defined independently, so the second law tells us something basic and universal about nature. The next section introduces the third and final law of motion.",strong,0.8737,True,4,Newton’s Second Law of Motion: Concept of a System,body,37498,37843,"Newton’s second law of motion is more than a definition; it is a relationship among acceleration, force, and mass. It can help us make predictions. Each of those physical quantities can be defined independently, so the second law tells us something basic and universal about nature. The next section introduces the third and final law of motion.",accept,Top span explicitly states 'Newton’s second law of motion' and gives the acceleration-force-mass relationship.
sciq-test-00024,test,Where is energy stored in a chemical substance?,D,between atoms,energy that is stored in the connections between atoms in a chemical substance.,strong,0.8594,True,7,Glossary,glossary,107813,107946,chemical energy the energy in a substance stored in the bonds between atoms and molecules that can be released in a chemical reaction,accept,Top span states chemical energy is stored in bonds between atoms and molecules; sufficient to support 'between atoms'.
sciq-test-00432,test,"One important phenomenon related to the relative strength of cohesive and adhesive forces is capillary action—the tendency of a fluid to be raised or suppressed in a narrow tube, or called this?",D,capillary tube,"One important phenomenon related to the relative strength of cohesive and adhesive forces is capillary action—the tendency of a fluid to be raised or suppressed in a narrow tube, or capillary tube. This action causes blood to be drawn into a small-diameter tube when the tube touches a drop. Capillary Action The tendency of a fluid to be raised or suppressed in a narrow tube, or capillary tube, is called capillary action. If a capillary tube is placed vertically into a liquid, as shown in Figure 11.34, capillary action will raise or suppress the liquid inside the tube depending on the combination of substances. The actual effect depends on the relative strength of the cohesive and adhesive forces and, thus, the contact angle θ given in the table. If θ is less than 90º , then the fluid will be raised; if θ is greater than 90º , it will be suppressed. Mercury, for example, has a very large surface tension and a large contact angle with glass. When placed in a tube, the surface of a column of mercury curves downward, somewhat like a drop. The curved surface of a fluid in a tube is called a meniscus. The tendency of surface tension is always to reduce the surface area. Surface tension thus flattens the curved liquid surface in a capillary tube. This results in a downward force in mercury and an upward force in water, as seen in Figure 11.34.",strong,0.8511,True,11,Cohesion and Adhesion in Liquids: Surface Tension and Capillary Action,body,80019,80310,"One important phenomenon related to the relative strength of cohesive and adhesive forces is capillary action—the tendency of a fluid to be raised or suppressed in a narrow tube, or capillary tube. This action causes blood to be drawn into a small-diameter tube when the tube touches a drop.",accept,Top span explicitly identifies the narrow tube as a capillary tube; sufficient despite awkward question wording.
sciq-test-00955,test,"Fahrenheit, celsius, and kelvin are all units which measure what?",D,temperature,"There are three temperature scales that are commonly used. Their units are °F (degrees Fahrenheit), °C (degrees Celsius), and K (Kelvin).",strong,0.8497,True,13,Section Summary,summary,118433,118506,"There are three main temperature scales: Celsius, Fahrenheit, and Kelvin.",accept,"Top span identifies Celsius, Fahrenheit, and Kelvin as temperature scales; sufficient to establish they measure temperature."
